scan,side,reactant,sweep_index,is_baseline,parameter_value_SI,parameter_value_display,parameter_display_unit,sigma_C_per_m2,sigma_mC_per_m2,phi_RP_mean_V,phi_RP_mean_mV,reactant_mean,log10_reactant_mean,eta_mean_V,eta_mean_mV,side_current_avg_A_per_m2,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,max_abs_phi_tilde,debye_huckel_ok
Cdl_Au,Au,R1,0,False,0.05,5.0,$\mu$F cm$^{-2}$,-0.015116410966908966,-15.116410966908965,-0.06250578120162757,-62.50578120162757,0.09201340567137689,-1.0361488945569142,0.5276717806618209,527.6717806618209,0.23783796313303168,0.5651659994601932,0.4670000000000001,0.23783796313303168,0.11756035407872442,1.1891898156651585e-10,5.878017703936221e-11,5.327497724849033,False
Cdl_Au,Au,R1,1,False,0.05358867312681466,5.358867312681466,$\mu$F cm$^{-2}$,-0.015947167262351788,-15.947167262351789,-0.06595645627340159,-65.95645627340159,0.08083448878394327,-1.0924033039186472,0.5324153364534016,532.4153364534016,0.22826604088307942,0.5664588801799999,0.4670000000000001,0.22826604088307942,0.11756035407872442,1.1413302044153971e-10,5.878017703936221e-11,5.295531762141218,False
Cdl_Au,Au,R1,2,False,0.05743491774985176,5.743491774985176,$\mu$F cm$^{-2}$,-0.016809175037398982,-16.809175037398983,-0.06953589367120469,-69.53589367120469,0.07068816858110553,-1.1506532700776073,0.5373352640529835,537.3352640529835,0.2187482483589902,0.5677993703817787,0.4670000000000001,0.2187482483589902,0.11756035407872442,1.0937412417949511e-10,5.878017703936221e-11,5.2623897838300735,False
Cdl_Au,Au,R1,3,False,0.061557220667245796,6.1557220667245796,$\mu$F cm$^{-2}$,-0.017702059634333214,-17.702059634333214,-0.07324238911553156,-73.24238911553157,0.061537266572132654,-1.2108617986151171,0.5424291928314371,542.429192831437,0.20931493412558858,0.5691868037159056,0.4670000000000001,0.20931493412558858,0.11756035407872442,1.046574670627943e-10,5.878017703936221e-11,5.228088427192063,False
Cdl_Au,Au,R1,4,False,0.0659753955386447,6.59753955386447,$\mu$F cm$^{-2}$,-0.018625267864875693,-18.625267864875692,-0.07707348661425578,-77.07348661425578,0.053335896127602776,-1.272980403676194,0.5476937294151416,547.6937294151417,0.19999592444065648,0.5706202428008859,0.4670000000000001,0.19999592444065648,0.11756035407872442,9.999796222032824e-11,5.878017703936221e-11,5.192651043053239,False
Cdl_Au,Au,R1,5,False,0.07071067811865475,7.0710678118654755,$\mu$F cm$^{-2}$,-0.01957806027390642,-19.57806027390642,-0.08102594674911394,-81.02594674911394,0.046031068869783136,-1.3369489404034602,0.5531244163568365,553.1244163568365,0.1908201325320542,0.5720984696077225,0.4670000000000001,0.1908201325320542,0.11756035407872442,9.541006626602711e-11,5.878017703936221e-11,5.156107933396058,False
Cdl_Au,Au,R1,6,False,0.0757858283255199,7.57858283255199,$\mu$F cm$^{-2}$,-0.02055950525825885,-20.559505258258852,-0.08509572286808471,-85.09572286808472,0.03956438296849116,-1.402695602980047,0.5587157017015054,558.7157017015054,0.18181518001032135,0.5736199788334206,0.4670000000000001,0.18181518001032135,0.11756035407872442,9.090759000516068e-11,5.878017703936221e-11,5.118496514880524,False
Cdl_Au,Au,R1,7,False,0.08122523963562357,8.122523963562358,$\mu$F cm$^{-2}$,-0.02156847532394741,-21.56847532394741,-0.08927794637462555,-89.27794637462554,0.03387372046895848,-1.470137100656752,0.5644609210055448,564.4609210055448,0.17300704103203338,0.5751829746309192,0.4670000000000001,0.17300704103203338,0.11756035407872442,8.65035205160167e-11,5.878017703936221e-11,5.079861399182516,False
Cdl_Au,Au,R1,8,False,0.0870550563296124,8.70550563296124,$\mu$F cm$^{-2}$,-0.022603645740514922,-22.60364574051492,-0.09356692219832481,-93.56692219832482,0.028894885695082886,-1.539179019214312,0.5703522932093478,570.3522932093477,0.16441971926581953,0.5767853710110229,0.4670000000000001,0.16441971926581953,0.11756035407872442,8.220985963290977e-11,5.878017703936221e-11,5.0402543823305255,False
Cdl_Au,Au,R1,9,False,0.09330329915368073,9.330329915368072,$\mu$F cm$^{-2}$,-0.023663495815398002,-23.663495815398,-0.09795613537812442,-97.95613537812442,0.024563125692547552,-1.6097163694261547,0.576380931542178,576.3809315421779,0.1560749666603707,0.5784247961640536,0.4670000000000001,0.1560749666603707,0.11756035407872442,7.803748333018536e-11,5.878017703936221e-11,4.999734336904419,False
