E_mix,I1,I2,Itot,i_mix,K_Au,K_Pd,K_ratio,a_weighted_Au,a_weighted_Pd,dlnI1_dE,dlnI2_dE,di_mix_dE,lambda_D_m,Lt_total,g_Au,g_C,g_Pd,scan_value
-0.013832817783178714,627.8551139413556,-627.8550516678365,6.227351912002632e-05,627.8551139413556,16.765675639635543,9.785837438745494,1.7132591609640346,0.011284443875711701,0.060228396797579624,19.24126712715181,-18.288775112036777,12080.72796449396,3e-10,33.333333333333336,0.010790532490825021,0.043162129963300086,0.06474319494495014,3e-10
-0.014211664905371096,449.73056932369354,-449.7305303166159,3.900707764614708e-05,449.73056932369354,12.098066109958708,6.9580741757217535,1.738708988209915,0.01596237291541568,0.08159843728802484,19.150230547725837,-17.872895484121813,8612.444086908728,4.175e-10,23.952095808383234,0.015016824383064824,0.0600672975322593,0.09010094629838894,4.175e-10
-0.01464335899573746,349.8187475601572,-349.8187641980222,-1.6637865030588728e-05,349.8187475601572,9.489759267791356,5.366995289615272,1.7681698521616591,0.02078401583701441,0.10185510628925483,19.056397170804072,-17.478683036522813,6666.2849912996035,5.35e-10,18.69158878504673,0.019243116275304624,0.0769724651012185,0.11545869765182773,5.35e-10
-0.015121537258448031,285.876337213755,-285.8763645620316,-2.7348276603333943e-05,285.876337213755,7.827656637252732,4.345351579289438,1.8013862617148066,0.025749168517799237,0.1210652543669115,18.959770968792473,-17.10483679892213,5420.149878970079,6.525e-10,15.325670498084293,0.02346940816754442,0.09387763267017768,0.14081644900526655,6.525e-10
-0.015639680435480502,241.444031924363,-241.44405737602875,-2.545166574918767e-05,241.444031924363,6.678043582353049,3.6331554013782306,1.8380836613318952,0.030856379709951965,0.13928765179530314,18.860380184239432,-16.750213050519477,4553.726235309129,7.7e-10,12.987012987012987,0.027695700059784226,0.1107828002391369,0.16617420035870534,7.7e-10
-0.016191753556551364,208.77813395570846,-208.7781174593649,1.6496343562266702e-05,208.77813395570846,5.836920382344077,3.1080389110929683,1.8780074990410833,0.03610206864582844,0.15657721573171957,18.758294502006617,-16.413743055532628,3916.321722320567,8.875000000000001e-10,11.267605633802816,0.03192199195202403,0.12768796780809613,0.19153195171214418,8.875000000000001e-10
-0.01677244435769501,183.7556814180517,-183.75567658656746,4.831484233136507e-06,183.7556814180517,5.195739715269464,2.704795163018399,1.9209364858044595,0.041480502846966257,0.17298683733838036,18.65362548112505,-16.094397505810587,3427.709661201266,1.0050000000000001e-09,9.950248756218905,0.03614828384426383,0.14459313537705532,0.21688970306558297,1.0050000000000001e-09
-0.017377140929521945,163.9796619835745,-163.97964553030758,1.6453266908911246e-05,163.9796619835745,4.691452696741947,2.3854637223195616,1.9666837323269384,0.046984140937796307,0.1885679506197267,18.546519883341258,-15.791175450763738,3041.2520614419427,1.1225e-09,8.908685968819599,0.040374575736503625,0.1614983029460145,0.24224745441902176,1.1225e-09
-0.018001924266638186,147.96120031381835,-147.9612176129829,-1.7299164539963385e-05,147.96120031381835,4.284949549175954,2.1264259196212283,2.0150946758301433,0.05260406877305735,0.20337053789228648,18.437151185697363,-15.503104190915472,2727.9830198031214,1.24e-09,8.064516129032258,0.04460086762874343,0.1784034705149737,0.26760520577246055,1.24e-09
-0.01864344160777512,134.72667403044238,-134.7266645218795,9.508562868631998e-06,134.72667403044238,3.9506940609345325,1.912202910531264,2.0660433258293276,0.05833041538640476,0.21744292679337612,18.32571148580836,-15.229243228289944,2468.9621577244366,1.3575000000000001e-09,7.366482504604051,0.04882715952098323,0.19530863808393292,0.29296295712589937,1.3575000000000001e-09
