E_mix,I1,I2,Itot,i_mix,K_Au,K_Pd,K_ratio,a_weighted_Au,a_weighted_Pd,dlnI1_dE,dlnI2_dE,di_mix_dE,lambda_D_m,Lt_total,g_Au,g_C,g_Pd,scan_value
-0.018455195238413213,95.51902893348284,-95.51902954402328,-6.105404395384539e-07,95.51902893348284,2.790735638433624,1.3606966938554996,2.050960843100269,0.04519782321264118,0.1621819913636102,18.58128318438449,-16.304669232982796,1774.8661261104603,9.619830031440398e-10,6.237116435935207,0.034601029503490636,0.13840411801396255,0.2076061770209438,0.5
-0.017581100573362735,124.54801868734718,-124.54803339889699,-1.471154980947631e-05,124.54801868734718,3.577486419968511,1.8046622409310844,1.9823578832805682,0.04261929027845763,0.1643882617613226,18.631463684403393,-16.2617332866288,2320.511887137704,9.619830031440398e-10,7.484539723122249,0.034601029503490636,0.13840411801396255,0.2076061770209438,0.65
-0.017038884570421603,153.5295654258566,-153.5295660260966,-6.002400141369435e-07,153.5295654258566,4.363656110522019,2.2481938389313676,1.9409607992681772,0.04095992547096406,0.16582692716536543,18.66375637093453,-16.233735602993388,2865.4384048436405,9.619830031440398e-10,8.73196301030929,0.034601029503490636,0.13840411801396255,0.2076061770209438,0.8
-0.016645054330648806,182.5576354053368,-182.55762418980845,1.1215528360253302e-05,182.5576354053368,5.149083614603716,2.693830468503792,1.911435658185135,0.03980072968856445,0.16680780599378056,18.686315331966,-16.214646845423026,3411.329541442204,9.619830031440398e-10,9.97938629749633,0.034601029503490636,0.13840411801396255,0.2076061770209438,0.95
-0.016385349442781832,211.53576904199429,-211.5357466980326,2.2343961688875424e-05,211.53576904199429,5.936340390497498,3.1372491765184254,1.8922119527290386,0.038960162188003376,0.1675344960193134,18.702673508710077,-16.20050482367238,3956.28442380632,9.619830031440398e-10,11.226809584683371,0.034601029503490636,0.13840411801396255,0.2076061770209438,1.1
-0.01616557966691437,240.5556442621457,-240.55565368256813,-9.42042242968455e-06,240.5556442621457,6.721916202075187,3.5829294242850436,1.8760950624687545,0.03830689534631075,0.16807180736219327,18.715386651259983,-16.190048276271295,4502.091893509007,9.619830031440398e-10,12.474232871870415,0.034601029503490636,0.13840411801396255,0.2076061770209438,1.25
-0.015997651030840304,269.6097897598618,-269.6097908388001,-1.0789382827169902e-06,269.6097897598618,7.509204118735013,4.028817876395124,1.8638728155798505,0.03779924818848401,0.1684912357188693,18.72526590774541,-16.181885834604916,5048.515004584749,9.619830031440398e-10,13.721656159057455,0.034601029503490636,0.13840411801396255,0.2076061770209438,1.4
-0.015870708038629916,298.67294165816907,-298.6729103089476,3.134922144454322e-05,298.67294165816907,8.298149234670827,4.474151648306835,1.8546866282038335,0.03739711315848005,0.16882888552205164,18.733091806190686,-16.175314874920687,5595.067636107516,9.619830031440398e-10,14.969079446244494,0.034601029503490636,0.13840411801396255,0.2076061770209438,1.55
-0.015750232150377658,327.63209517274174,-327.6320875070945,7.665647217436344e-06,327.63209517274174,9.08141596723833,4.919483715298296,1.8460099662485971,0.03703776295115817,0.16910800337380405,18.740085074667597,-16.169882998065653,6139.853336728771,9.619830031440398e-10,16.216502733431536,0.034601029503490636,0.13840411801396255,0.2076061770209438,1.7
-0.015655341555895236,356.6929804858144,-356.69294718383594,3.3301978476174554e-05,356.6929804858144,9.86869440516312,5.3657398421660165,1.8392047873083934,0.036754227355280375,0.16933479464463363,18.74560292467668,-16.16546944211712,6686.424978206525,9.619830031440398e-10,17.463926020618576,0.034601029503490636,0.13840411801396255,0.2076061770209438,1.8499999999999999
-0.015578727235617068,385.7421092296374,-385.742069350543,3.987909440184012e-05,385.7421092296374,10.656501829838115,5.81138463597898,1.8337285341366725,0.03651320983226988,0.16953084630739992,18.75029333590147,-16.161654105754057,7232.777700065047,9.619830031440398e-10,18.71134930780562,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.0
-0.015529739668192294,414.7766197522286,-414.7766250429077,-5.290679098379769e-06,414.7766197522286,11.44768973553714,6.254763873251835,1.8302353162351301,0.03631819854216405,0.16970629040009746,18.7540884257051,-16.15823981067944,7778.7574037483555,9.619830031440398e-10,19.95877259499266,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.15
-0.015469457020582583,443.73560285261743,-443.7356068040946,-3.951477140162751e-06,443.73560285261743,12.23258842986844,6.699315309152984,1.8259460654368045,0.03612747615353175,0.16985401092466926,18.757800049745068,-16.155365040422367,8323.503713262486,9.619830031440398e-10,21.206195882179703,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.3
-0.015411342491926577,472.6539161413003,-472.6539546434624,-3.850216211276347e-05,472.6539161413003,13.015060151975678,7.143986163931068,1.8218204589598448,0.03595145058045022,0.16998381185973208,18.761225660935153,-16.152839001007465,8867.566780251655,9.619830031440398e-10,22.453619169366743,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.45
-0.015367652287306216,501.8837243192728,-501.88373488186477,-1.056259196730025e-05,501.8837243192728,13.80819057947625,7.592235813201283,1.818725197584978,0.0358282776910769,0.1700876501049175,18.76362271279964,-16.150818218183474,9417.156848821582,9.619830031440398e-10,23.70104245655379,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.6
-0.0153383864067215,530.8145593211999,-530.8145958924407,-3.657124079836649e-05,530.8145593211999,14.595841507428744,8.034461455254858,1.8166546181987695,0.03570173162055338,0.17019818579719742,18.76608540971156,-16.14866709719719,9961.311356940041,9.619830031440398e-10,24.94846574374083,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.75
-0.015302906741918948,559.8537265435888,-559.8537690670307,-4.2523441948105756e-05,559.8537265435888,15.383707741948282,8.479854234075738,1.8141476630730116,0.03558949289928253,0.1702876911664764,18.76826967312747,-16.146925244640162,10507.485717275436,9.619830031440398e-10,26.195889030927866,0.034601029503490636,0.13840411801396255,0.2076061770209438,2.9
-0.015259916891874697,588.9812209192077,-588.9811990297877,2.188941994063498e-05,588.9812209192077,16.170541221363656,8.92850100560026,1.8111149017310904,0.035486244238395775,0.17035876380887688,18.770278982126747,-16.145542109026092,11055.341831887154,9.619830031440398e-10,27.44331231811491,0.034601029503490636,0.13840411801396255,0.2076061770209438,3.05
